序号,砖型,砖数,重量
1,ZD00,2.0,662.0
2,ZD01,10.0,293.0
3,ZD02,14.0,329.0
4,ZD03,18.0,349.0
5,ZD04,22.0,362.0
6,ZD05,26.0,371.0
7,ZD06,30.0,437.0
8,ZD07,34.0,505.0
9,ZD08,40.0,582.0
10,ZD09,40.0,416.0
11,ZB01,2.0,902.0
12,ZB02,4.0,763.0
13,ZB03R,2.0,893.0
14,ZB03L,2.0,893.0
15,ZB04R,2.0,738.0
16,ZB04L,2.0,738.0
17,ZB05,20.0,821.0
18,ZB06,18.0,716.0
19,ZB07,4.0,506.0
20,ZB08,8.0,829.0
21,ZB09R,4.0,801.0
22,ZB09L,4.0,801.0
23,ZB10R,4.0,702.0
24,ZB10L,4.0,702.0
25,ZB11,76.0,631.0
26,ZB12,2.0,730.0
27,ZB13,2.0,437.0
28,ZB14,4.0,760.0
29,ZB15R,2.0,604.0
30,ZB15L,2.0,604.0
31,ZB16R,2.0,658.0
32,ZB16L,2.0,658.0
33,ZB17,20.0,488.0
34,ZB18,18.0,594.0
35,ZB19,26.0,584.0
36,ZB20,26.0,533.0
37,ZB21,26.0,386.0
38,ZB22,26.0,430.0
39,ZF01,72.0,501.0
40,ZF02,72.0,521.0
41,ZF03,24.0,1077.0
42,ZF04,24.0,572.0
43,ZF05,24.0,712.0
44,ZF06,48.0,310.0
45,ZF07,48.0,233.0
